merchant_id,onboarding_date,days_since_onboarding,mcc_code,mcc_description,country,monthly_volume_usd,avg_ticket_usd,txn_velocity_per_day,chargeback_rate_pct,refund_rate_pct,high_risk_bin_pct,intl_card_pct,identity_risk_score,hours_to_first_txn,shared_bank_account,shared_ip_address,shared_phone,shared_owner_name,collusion_score,network_size,velocity_spike,fraud_risk_score,risk_tier,is_fraud,fraud_reason
MER00000,2023-11-06,84,5999,Misc Retail,CA,100825.7,27.16,12.5,0.509,1.62,2.54,24.89,19.7,134.77,0,0,0,0,0,1,0,14.5,Low,0,None
MER00001,2024-08-10,72,5094,Precious Metals,CA,8075.83,248.92,6.6,1.21,0.39,20.69,10.91,21.3,41.05,0,0,0,1,1,1,0,57.0,Medium,1,Friendly Fraud
MER00002,2023-12-16,34,5912,Drug Stores,CN,2375.58,308.37,5.6,0.348,1.723,4.99,12.59,33.7,97.37,0,0,0,1,1,1,0,37.1,Medium,1,Identity Fraud at Onboarding
MER00003,2023-03-24,168,5065,Electronics Retail,CA,9745.18,99.89,27.2,0.165,1.891,5.04,3.05,39.4,44.26,0,0,0,0,0,1,0,38.4,Medium,0,None
MER00004,2024-04-18,116,5812,Restaurants,IN,3548.21,688.66,318.8,0.757,1.53,1.0,6.16,27.4,50.13,0,0,0,0,0,1,0,11.8,Low,0,None
MER00005,2023-12-01,361,5812,Restaurants,US,3212.82,204.7,38.4,0.134,3.634,19.35,6.57,6.5,144.49,0,1,0,0,1,1,1,38.1,Medium,0,None
MER00006,2024-05-03,5,5411,Grocery,NG,15518.31,178.15,3.0,0.821,0.09,15.6,9.47,35.4,68.93,0,0,0,0,0,1,0,51.2,Medium,0,None
MER00007,2023-10-14,185,6012,Financial Services,CN,730.99,40.31,8.4,0.726,1.404,21.81,9.11,60.1,9.42,0,1,0,0,1,1,0,75.3,High,1,Synthetic Identity
MER00008,2024-04-06,259,5065,Electronics Retail,US,929.0,168.58,9.5,0.701,0.839,24.83,6.99,5.8,51.51,1,0,0,0,1,1,0,53.0,Medium,1,Identity Fraud at Onboarding
MER00009,2023-07-30,256,5912,Drug Stores,CA,8340.98,111.81,7.5,0.188,1.38,37.91,30.14,3.6,19.89,0,0,0,0,0,1,0,16.8,Low,1,Collusion – Merchant-Consumer Ring
MER00010,2023-02-20,390,5411,Grocery,US,7836.42,151.39,12.6,0.596,1.071,2.9,11.57,46.8,25.05,0,0,0,0,0,1,0,24.9,Low,0,None
MER00011,2023-08-06,235,5094,Precious Metals,BR,13566.13,45.4,31.3,0.331,1.196,15.9,33.73,39.9,97.44,0,0,0,0,0,1,0,55.5,Medium,1,Friendly Fraud
MER00012,2023-06-02,473,6012,Financial Services,GB,134974.09,102.32,45.5,0.527,0.794,33.21,4.66,25.9,92.09,0,0,0,0,0,1,0,48.3,Medium,1,Account Takeover
MER00013,2024-11-11,72,5812,Restaurants,MX,9478.4,39.77,74.4,0.128,1.209,18.55,11.76,16.6,20.92,0,0,0,0,0,1,0,27.5,Low,0,None
MER00014,2024-08-26,125,5812,Restaurants,US,19875.8,10.52,37.7,0.51,0.39,0.62,9.94,25.4,114.27,0,0,0,0,0,1,0,21.7,Low,0,None
MER00015,2023-09-02,2,5812,Restaurants,US,1875.63,244.28,1.9,0.389,0.571,14.49,17.98,32.4,30.82,0,0,0,0,0,1,0,37.2,Medium,0,None
MER00016,2023-03-29,1,5999,Misc Retail,US,25639.94,20.04,5.6,0.216,1.723,11.78,7.28,46.6,16.13,0,0,0,0,0,1,1,46.7,Medium,0,None
MER00017,2023-04-30,49,5045,Electronics Wholesale,CA,3679.06,100.2,16.6,0.246,0.767,0.46,7.09,8.2,2.15,0,0,0,0,0,1,0,11.7,Low,0,None
MER00018,2024-11-02,19,7372,Software/SaaS,GB,9019.38,125.59,24.0,0.307,6.753,7.44,24.41,16.1,17.8,0,0,0,0,0,1,0,31.3,Medium,0,None
